category,answer,pred,response
maritime_engineering,B,B,B
maritime_engineering,C,B,B
maritime_engineering,B,C,C
maritime_engineering,D,C,C
maritime_engineering,D,A,A
maritime_engineering,D,D,D
maritime_engineering,C,C,"주어진 조건:
- 지간(L) = 10m
- 설계모멘트(M) = 25KN·m
- 등분포하중(w)을 구해야 함

등분포하중이 작용하는 단순보의 최대모멘트 공식:
M = wL²/8

25 = w × 10²/8
25 = w × 100/8
25 = 12.5w
w = 25/12.5
w = 2.0 KN/m

C"
maritime_engineering,B,B,B
maritime_engineering,C,D,D
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,B,C,C
maritime_engineering,D,D,D
maritime_engineering,D,C,C
maritime_engineering,D,A,A
maritime_engineering,D,D,D
maritime_engineering,D,B,B
maritime_engineering,D,B,B
maritime_engineering,B,B,B
maritime_engineering,B,A,A
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,C,B,B
maritime_engineering,D,D,D
maritime_engineering,B,D,D
maritime_engineering,D,D,D
maritime_engineering,D,D,D
maritime_engineering,C,B,B
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,D,B,B
maritime_engineering,C,D,D
maritime_engineering,B,B,B
maritime_engineering,B,C,C
maritime_engineering,C,C,C
maritime_engineering,C,B,B
maritime_engineering,D,D,D
maritime_engineering,D,C,C
maritime_engineering,D,B,B
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,C,D,D
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,D,C,C
maritime_engineering,D,C,C
maritime_engineering,C,B,B
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,C,B,B
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,C,A,A
maritime_engineering,B,C,C
maritime_engineering,D,D,D
maritime_engineering,B,D,D
maritime_engineering,D,D,D
maritime_engineering,B,D,D
maritime_engineering,B,B,B
maritime_engineering,D,B,B
maritime_engineering,B,D,D
maritime_engineering,C,B,B
maritime_engineering,A,B,B
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,C,A,A
maritime_engineering,C,C,C
maritime_engineering,C,D,D
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,C,B,B
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,B,B
maritime_engineering,C,B,B
maritime_engineering,D,D,D
maritime_engineering,D,B,B
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,B,C,C
maritime_engineering,C,B,B
maritime_engineering,C,C,C
maritime_engineering,B,A,A
maritime_engineering,C,C,C
maritime_engineering,B,A,A
maritime_engineering,B,A,A
maritime_engineering,D,B,B
maritime_engineering,B,B,B
maritime_engineering,D,A,A
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,D,D
maritime_engineering,D,C,C
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,D,D,D
maritime_engineering,D,D,D
maritime_engineering,D,D,D
maritime_engineering,A,A,A
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,C,D,D
maritime_engineering,D,D,D
maritime_engineering,C,D,D
maritime_engineering,D,B,B
maritime_engineering,B,C,C
maritime_engineering,D,D,D
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,A,C,C
maritime_engineering,D,C,C
maritime_engineering,B,C,C
maritime_engineering,B,B,B
maritime_engineering,B,A,A
maritime_engineering,D,C,C
maritime_engineering,B,C,C
maritime_engineering,D,B,B
maritime_engineering,B,D,D
maritime_engineering,B,D,D
maritime_engineering,C,D,D
maritime_engineering,D,B,B
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,B,B
maritime_engineering,C,B,B
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,C,B,B
maritime_engineering,C,C,C
maritime_engineering,A,A,A
maritime_engineering,C,C,C
maritime_engineering,A,C,C
maritime_engineering,C,C,C
maritime_engineering,A,A,A
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,C,D,D
maritime_engineering,A,C,C
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,A,C,C
maritime_engineering,C,C,C
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,C,B,B
maritime_engineering,B,A,A
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,B,D,D
maritime_engineering,D,C,C
maritime_engineering,C,C,C
maritime_engineering,B,B,"주형계수(CP)를 구하는 문제입니다.

주어진 정보:
- 길이(L) = 55 m
- 폭(B) = 13 m
- 흘수(d) = 6 m
- 중앙횡단면계수(CM) = 0.8
- 배수량(Δ) = 3000 톤
- 해수의 비중(ρ) = 1.025

배수량 공식:
Δ = ρ × g × ∇ = ρ × g × L × B × d × CM × CP

여기서 ∇는 배수량(m³)입니다.

배수량을 톤으로 표현하면:
3000 = 1.025 × L × B × d × CM × CP

3000 = 1.025 × 55 × 13 × 6 × 0.8 × CP

3000 = 1.025 × 55 × 13 × 6 × 0.8 × CP

3000 = 1.025 × 34,320 × CP

3000 = 35,178 × CP

CP = 3000 / 35,178 = 0.0853

이는 잘못된 계산입니다. 다시 정리하면:

배수량(톤) = 비중 × 부피(m³)
3000 = 1.025 × (L × B × d × CM × CP)

3000 / 1.025 = 55 × 13 × 6 × 0.8 × CP

2926.83 = 34,320 × CP

CP = 2926.83 / 34,320 = 0.0852

재계산: CP = 3000 / (1.025 × 55 × 13 × 6 × 0.8) = 3000 / 3528 ≈"
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,A,A,A
maritime_engineering,D,B,B
maritime_engineering,B,D,D
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,D,B,B
maritime_engineering,B,C,C
maritime_engineering,B,D,D
maritime_engineering,D,C,C
maritime_engineering,C,B,B
maritime_engineering,D,D,D
maritime_engineering,C,D,D
maritime_engineering,D,D,D
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,A,A
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,D,A,A
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,D,B,B
maritime_engineering,D,D,D
maritime_engineering,C,B,B
maritime_engineering,B,D,D
maritime_engineering,A,D,D
maritime_engineering,B,B,B
maritime_engineering,C,D,D
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,A,D,D
maritime_engineering,C,D,D
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,B,C,C
maritime_engineering,B,B,B
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,B,D,D
maritime_engineering,C,C,C
maritime_engineering,D,C,C
maritime_engineering,C,A,A
maritime_engineering,C,B,B
maritime_engineering,D,B,B
maritime_engineering,B,B,B
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,D,B,B
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,D,D,D
maritime_engineering,C,D,D
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,C,D,D
maritime_engineering,A,A,A
